J B Conant High School (Hoffman Estates, IL)
J. Frank Dent Elementary (Fort Washington, MD)
J. Garfield Jackson Sr. Academy (East Orange, NJ)
J. Graham Brown School (Louisville, KY)
J. H. Mcgaugh Elementary (Seal Beach, CA)
J. Harley Bonds Career Center (Greer, SC)
J. Harvey Rodgers School (Glassboro, NJ)
J. I. Watson Elementary School (Iowa, LA)
J. L. Mann High Academy (Greenville, SC)
J. M. Tate Senior High School (Cantonment, FL)
J. M. Wright Technical High School (Stamford, CT)
J. Mason Tomlin Elementary School (Mantua, NJ)
J. P. Taravella High School (Coral Springs, FL)
J. W. Oakley Elementary (Brawley, CA)
J. Walter Wood Academy (Montgomery, AL)
J.B. Fisher Elem (Richmond, VA)
J.B. Nachman Elementary School (Alexandria, LA)
J.D. Leftwich High School (Magazine, AR)
J.F. Kennedy School (Maple Heights, OH)
J.I. Burton High (Norton, VA)
J.M.G.C. Academy (Orlando, FL)
J.O.Y. Academy Of Southern Nevada (Las Vegas, NV)
J.P. Torres Success Academy (Santa Rita, GU)
J.R. Arnold High School (Panama City Beach, FL)
J.V.B. Wicoff Elementary School (Plainsboro, NJ)
J.W. Smith Elementary (Bemidji, MN)
Jac-Cen-Del Ms/HS (Osgood, IN)
Jack Abrams Stem Magnet School (Huntington Station, NY)
Jack Barnes Elementary School (Queen Creek, AZ)
Jack Britt High (Fayetteville, NC)
Jack C Binion El (Richland Hills, TX)
Jack C Hays H S (Buda, TX)
Jack D Johnson El (Southlake, TX)
Jack E Singley Academy (Irving, TX)
Jack Egnaty Sr. School (Sleetmute, AK)
Jack Hayes Elementary School (Monroe, LA)
Jack Hille Middle School (Oak Forest, IL)
Jack L. Weaver Elementary (Los Alamitos, CA)
Jack London Community Day (Valley Glen, CA)
Jack London Continuation (Van Nuys, CA)
Jack London Elementary (Santa Rosa, CA)
Jack Lummus Int (Ennis, TX)
Jack M Barrack Hebrew Academy (Bryn Mawr, PA)
Jack Northrop Elementary (Lancaster, CA)
Jack Norton Elementary (Hoopa, CA)
Jack P. Timmons Elementary School (Shreveport, LA)
Jackie Mae Townsell El (Irving, TX)
Jackpot High School (Jackpot, NV)
Jackpot Jr High School (Jackpot, NV)
Jacksboro H S (Jacksboro, TX)
Jackson A Elem Language Acad (Chicago, IL)
Jackson Academy (Bowling Green, KY)
Jackson Academy High School (Bowling Green, KY)
Jackson Alternative School (Marianna, FL)
Jackson Andrew Sch (Philadelphia, PA)
Jackson Area Career Center (Jackson, MI)
Jackson Area Technology Center (Mckee, KY)
Jackson Center (Livonia, MI)
Jackson Center Elementary School (Jackson Center, OH)
Jackson Center High School (Jackson Center, OH)
Jackson Central-Merry Early College High (Jackson, TN)
Jackson Christian Elementary School (Jackson, MI)
Jackson Christian School (Jackson, TN)
Jackson City School (Jackson, KY)
Jackson Co Early College (Sylva, NC)
Jackson Co Schools Learning Center (Mc Kee, KY)
Jackson Community School (Sylva, NC)
Jackson Correctional Institution (Black River Falls, WI)
Jackson County Alternative School (Hollywood, AL)
Jackson County Central Senior High (Jackson, MN)
Jackson County Comprehensive High School (Jefferson, GA)
Jackson County High School (Gainesboro, TN)
Jackson County High School (Mckee, KY)
Jackson County Jail (Jackson, MI)
Jackson County Middle School (Mckee, KY)
Jackson County Vocational Center (Vancleave, MS)
Jackson El (Tyler, TX)
Jackson Elementary (Altadena, CA)
Jackson Elementary (Jackson, WY)
Jackson Elementary (Janesville, WI)
Jackson Elementary (Manitowoc, WI)
Jackson Elementary (Memphis, TN)
Jackson Elementary (Riverton, WY)
Jackson Elementary (Wichita, KS)
Jackson Elementary School (Davenport, IA)
Jackson Elementary School (Jackson, LA)
Jackson Elementary School (Medford, OR)
Jackson Elementary School (Valparaiso, IN)
Jackson Grammar School (Jackson, NH)
Jackson Heights Elementary (Red Bluff, CA)
Jackson Heights High School And Middle School (Holton, KS)
Jackson Heights School (Glens Falls, NY)
Jackson High School (Jackson, AL)
Jackson High School (Jackson, GA)
Jackson High School (Jackson, MI)
Jackson High School (Jackson, OH)
Jackson High School (Massillon, OH)
Jackson Hole Christian Academy (Jackson, WY)
Jackson Hole Classical Academy (Jackson, WY)
Jackson Hole Community School (Jackson, WY)
Jackson Hole High School (Jackson, WY)
Jackson Isd Local Based Special Education Programs (Jackson, MI)
Jackson Liberty High School (Jackson, NJ)
Jackson M Elem School (Chicago, IL)
Jackson Mann (Allston, MA)
Jackson Memorial High School (Jackson, NJ)
Jackson Middle (Falls Church, VA)
Jackson Middle (Greensboro, NC)
Jackson Middle (Jackson, MO)
Jackson Middle School (Jackson, AL)
Jackson Middle School (Jackson, OH)
Jackson Middle School (Portland, OR)
Jackson Middle School (Villa Park, IL)
Jackson Pathways (Jackson, MI)
Jackson Preparatory Early College (Jackson, MI)
Jackson Preparatory School (Flowood, MS)
Jackson Primary Sch (Williamsport, PA)
Jackson Road Elementary (Silver Spring, MD)
Jackson Sr. High (Jackson, MO)
Jackson Virtual Franchise (Marianna, FL)
Jackson Virtual Instruction Course Offerings (Marianna, FL)
Jackson Virtual Instruction Program (Marianna, FL)
Jackson-Keller El (San Antonio, TX)
Jackson-Milton High School (North Jackson, OH)
Jackson-Via Elem (Charlottesville, VA)
Jackson/Perry Project Soar Ms Taoep (Murphysboro, IL)
Jacksonolin High School (Birmingham, AL)
Jacksonsteele Elementary School (Hayneville, AL)
Jacksonville Assembly Christian Academy (Jacksonville, FL)
Jacksonville Christian Academy (Jacksonville, AR)
Jacksonville Christian Academy (Jacksonville, FL)
Jacksonville Christian Academy (Jacksonville, NC)
Jacksonville Classical Academy (Jacksonville, FL)
Jacksonville Commons Elem (Jacksonville, NC)
Jacksonville H S (Jacksonville, TX)
Jacksonville High (Jacksonville, NC)
Jacksonville High School (Jacksonville, AL)
Jacksonville High School (Jacksonville, AR)
Jacksonville High School (Jacksonville, IL)
Jacksonville Lighthouse Elementary (Jacksonville, AR)
Jacksonville Middle (Jacksonville, TX)
Jacksonville Middle School (Jacksonville, IL)
Jacksonville School For Autism (Jacksonville, FL)
Jacob Coy Middle School (Xenia, OH)
Jacob Hiatt Magnet (Worcester, MA)
Jacob Wismer Elementary School (Portland, OR)
Jacobs Elementary School (Findlay, OH)
Jacobs Fork Middle (Newton, NC)
Jacobs Road Elem (Chesterfield, VA)
Jacobsen High School (Gardnerville, NV)
Jacobsville Elementary (Pasadena, MD)
Jacoby Creek (Bayside, CA)
Jacqueline Kennedy-Onassis High School (New York, NY)
Jacqueline M. Walsh School (Pawtucket, RI)
Jail Services (Bronson, FL)
Jaime A. Collazo Del Rio (Morovis, PR)
Jaime C. Rodriguez (Yabucoa, PR)
Jaime Coira Ortiz (Su Pozas) (Ciales, PR)
Jaime Escalante Elementary (Cudahy, CA)
Jaime Escalante Middle (Pharr, TX)
Jaime L. Drew (Ponce, PR)
Jake Drost School For Exceptional Children (Sulphur, LA)
Jal Elementary (Jal, NM)
Jal High (Jal, NM)
Jal Jr High (Jal, NM)
Jalen Rose Leadership Academy (Detroit, MI)
Jamaica Gateway To The Sciences (Jamaica, NY)
James & Rosemary Phalen Leadership (Indianapolis, IN)
James A Garfield High School (Garrettsville, OH)
James A Green High School (Dolgeville, NY)
James A. Garfield Senior High (Los Angeles, CA)
James A. Herod Elementary School (Abbeville, LA)
James A. Mcdivitt Elementary School (Old Bridge, NJ)
James A. Mckee Elementary (Elk Grove, CA)
James A. Shanks Middle School (Quincy, FL)
James A. Taylor High School (Belfair, WA)
James And Margie Marion El (Allen, TX)
James B Dudley High (Greensboro, NC)
James B Rolle School (Yuma, AZ)
James Baldwin School-A School For Expeditionary Lrning (New York, NY)
James Bowie H S (Simms, TX)
James Buchanan El Sch (Bethlehem, PA)
James Buchanan HS (Mercersburg, PA)
James C. Enochs High (Modesto, CA)
James C. Isabell School (Teller, AK)
James Caldwell High School (West Caldwell, NJ)
James Campbell High School (Ewa Beach, HI)
James Caraway Christian Academy (Chickasha, OK)
James Clemens High School (Madison, AL)
James Coble Middle (Arlington, TX)
James D. Adams Middle School (Prestonsburg, KY)
James Dawson Elementary (Huntsville, AL)
James Dukes Elementary (Ramona, CA)
James E Davis School (Lebanon, IN)
James E Dottke Alternative School (West Allis, WI)
James E Mitchell El (Georgetown, TX)
James E. Duckworth Regional Center (Beltsville, MD)
James Earl Rudder H S (Bryan, TX)
James Elementary School (Ottumwa, IA)
James Elementary School (Tampa, FL)
James F. Byrnes High (Duncan, SC)
James Fallon Elementary School (Wayne, NJ)
James Franklin Smith Elementary (San Jose, CA)
James Garfield (Cabo Rojo, PR)
James H Watson Elementary School (Schererville, IN)
James H. Bright Elementary/J.W. Johnson Elementary (Hialeah, FL)
James H. Eldredge School (East Greenwich, RI)
James H. Moran Middle School (Wallingford, CT)
James Hillhouse High School (New Haven, CT)
James Hubert Blake High (Silver Spring, MD)
James Hunt High (Wilson, NC)
James I O'Neill High School (Fort Montgomery, NY)
James Irvin Education Center (Dade City, FL)
James Irvine Intermediate (Garden Grove, CA)
James Irwin Charter High School (Colorado Springs, CO)
James Irwin Charter Middle School (Colorado Springs, CO)
James Island Charter High (Charleston, SC)
James J Ferris High School (Jersey City, NJ)
James J. Curiale School (Bridgeport, CT)
James J. Mcbride Special Education Center (Los Angeles, CA)
James Kenan High (Warsaw, NC)
James Lick High (San Jose, CA)
James Logan High (Union City, CA)
James M Coughlin Jshs (Wilkes Barre, PA)
James M Steele H S (Roanoke, TX)
James M. Bennett High (Salisbury, MD)
James M. Burchfield Primary (Colusa, CA)
James Madison Academic Campus (Milwaukee, WI)
James Madison Elementary (La Quinta, CA)
James Madison Elementary (Sheboygan, WI)
James Madison H S (Dallas, TX)
James Madison High School (Brooklyn, NY)
James Madison Intermediate School (Edison, NJ)
James Madison Preparatory High School (Madison, FL)
James Madison Preparatory School (Tempe, AZ)
James Middle (Fort Worth, TX)
James Monroe High (Fredericksburg, VA)
James Monroe High (North Hills, CA)
James Monroe High School (Lindside, WV)
James Monroe Upper School (Rochester, NY)
James N. Gamble Montessori High School (Cincinnati, OH)
James Patterson El (Richmond, TX)
James R Watson Elementary School (Auburn, IN)
James R. Allen High School (Brandenburg, KY)
James R. Cowan Fundamental Elementary (Sacramento, CA)
James R. Tate Elem. School (Van Buren, AR)
James Rickards High School (Tallahassee, FL)
James River High (Buchanan, VA)
James River High (Midlothian, VA)
James Rumsey Technical Institute (Martinsburg, WV)
James Sales Elementary (Tacoma, WA)
James Templeton Elementary School (Tigard, OR)
James Tippit Middle (Georgetown, TX)
James Valley Christian School (Huron, SD)
James W. Mitchell High School (Trinity, FL)
James Wood High (Winchester, VA)
James Wood Middle (Winchester, VA)
James Wright Middle (Madison, WI)
Jamestown Area El Sch (Jamestown, PA)
Jamestown Area Jshs (Jamestown, PA)
Jamestown C-I High (Jamestown, MO)
Jamestown Elementary School (Jamestown, CO)
Jamestown High (Williamsburg, VA)
Jamestown High School (Jamestown, ND)
Jamestown High School (Jamestown, NY)
Jamestown Middle (Jamestown, NC)
Jamestown Middle School (Jamestown, ND)
Jamesville Elementary School (Jamesville, NY)
Jamesville-Dewitt High School (Dewitt, NY)
Jamison (Donald C.) High (Continuation) (Lemoore, CA)
Jan Work Community (Mammoth Lakes, CA)
Jana Elem. (Florissant, MO)
Jane Addams Business Careers High School (Cleveland, OH)
Jane Addams Continuation (Granada Hills, CA)
Jane Addams Elem School (Palatine, IL)
Jane Frederick High (Stockton, CA)
Jane Goodall Environmental Science (Maple Lake, MN)
Jane S. Roberts K-8 Center (Miami, FL)
Janesville Junior-Senior High School (Janesville, IA)
Janesville-Waldorf-Pemberton Sec (Janesville, MN)
Jann Mann Educational Center (Opa Locka, FL)
Japanese Educational Institute (Houston, TX)
Jardine Technology Middle Magnet (Wichita, KS)
Jardon Vocational School (Ferndale, MI)
Jarrell H S (Jarrell, TX)
Jarvisburg Christian Academy (Jarvisburg, NC)
Jasper Co Jr High (Newton, IL)
Jasper County High School (Monticello, GA)
Jasper H S (Jasper, TX)
Jasper High (Jasper, MO)
Jasper High School (Jasper, AL)
Jasper High School (Jasper, AR)
Jasper High School (Jasper, IN)
Jasper-Troupsburg Junior-Senior High School (Jasper, NY)
Jay County Christian Academy (Portland, IN)
Jay County Jr/Sr High School (Portland, IN)
Jay H S (San Antonio, TX)
Jay High School (Jay, FL)
Jay HS (Jay, OK)
Jay M Robinson High (Concord, NC)
Jay Stream Middle School (Carol Stream, IL)
Jay/Westfield Joint Elementary School (Jay, VT)
Jayenne Elementary School (Fairmont, WV)
Jayhawk Elementary (Mound City, KS)
Jayhawk-Linn High (Mound City, KS)
Jayton Schools (Jayton, TX)
Jb Griffin (Saginaw, MI)
Jb Pennington High School (Blountsville, AL)
Jc Kelly El (Pharr, TX)
Jcc - Lewiston (Lewiston, ID)
Jcc - Nampa (Nampa, ID)
Jcc - St Anthony (St Anthony, ID)
Jcclisd Academy A Regional Middle College (Adrian, MI)
Jcfa (Harvey, LA)
Jcfa Lafayette (Lafayette, LA)
Jcfa-East (Jefferson, LA)
Jclisd Academy A Regional Middle College (Adrian, MI)
Jcs - Cedar Cove (Encinitas, CA)
Jcs - Manzanita (La Mesa, CA)
Jcs - Pine Hills (Temecula, CA)
Jcs - Pine Valley (Pine Valley, CA)
Jcssa (Grandview, TX)
Jd Hall Learning Center (Lancaster, TX)
Jdc High School (Bassfield, MS)
Jdt Christian Academy (Pennsauken, NJ)
Je Portal Schools (El Segundo, CA)
Jean & Betty Schmalz El (Houston, TX)
Jean Garvin School (Williston, VT)
Jean Massieu Academy (Arlington, TX)
Jean Massieu School For The Deaf (Salt Lake City, UT)
Jean Nuzzi Intermediate School (Queens Village, NY)
Jean O'Dell Learning Center (Bartow, FL)
Jean Ribault High School (Jacksonville, FL)
Jean Ribault Middle School (Jacksonville, FL)
Jeane Thorman Elementary (Tustin, CA)
Jeanerette Senior High School (Jeanerette, LA)
Jeannette HS (Jeannette, PA)
Jedi Virtual K-12 (Whitewater, WI)
Jeff Davis Co Voc Tech Center (Carson, MS)
Jeff Davis High School (Hazlehurst, GA)
Jeffers High School (Painesdale, MI)
Jeffers Pond Elementary (Prior Lake, MN)
Jefferson (Hawthorne, CA)
Jefferson (Holland, MI)
Jefferson (Tracy, CA)
Jefferson Academy (Broomfield, CO)
Jefferson Academy (Jefferson, GA)
Jefferson Academy High School (Broomfield, CO)
Jefferson Area Career Center (Pine Bluff, AR)
Jefferson Area Sr High School (Jefferson, OH)
Jefferson Building - 64 (Rapid City, SD)
Jefferson Central School (Jefferson, NY)
Jefferson Christian Academy (Irondale, AL)
Jefferson Christian Academy (Jefferson, TX)
Jefferson Christian Academy (Ripplemead, VA)
Jefferson City High (Jefferson City, MO)
Jefferson Co Elem School (Fayette, MS)
Jefferson Co High (Fayette, MS)
Jefferson Co High School (Dandridge, TN)
Jefferson Co Jr Hi (Fayette, MS)
Jefferson Co North High (Winchester, KS)
Jefferson College (Hillsboro, MO)
Jefferson County (Bloomingdale, OH)
Jefferson County Adult High School (Jefferson City, TN)
Jefferson County Alternative School (Fayette, MS)
Jefferson County Christian School (Wintersville, OH)
Jefferson County Counseling Learning Centereast (Birmingham, AL)
Jefferson County Elementary A Somerset Charter School (Monticello, FL)
Jefferson County High (Louisville, KY)
Jefferson County High A Somerset Charter School (Monticello, FL)
Jefferson County High School (Louisville, GA)
Jefferson County Open Secondary (Lakewood, CO)
Jefferson County Virtual School (Birmingham, AL)
Jefferson County-Dubois Avts (Reynoldsville, PA)
Jefferson Davis High School (Montgomery, AL)
Jefferson Early Childhood Ctr (Moline, IL)
Jefferson El (Houston, TX)
Jefferson El Sch (Erie, PA)
Jefferson Elem (Edinburg, TX)
Jefferson Elem (Iola, KS)
Jefferson Elem (Wichita, KS)
Jefferson Elem School (Belleville, IL)
Jefferson Elem School (Elmhurst, IL)
Jefferson Elem School (Johnston City, IL)
Jefferson Elem School (Omaha, NE)
Jefferson Elem School (Pekin, IL)
Jefferson Elem School (Princeton, IL)
Jefferson Elem. (St Louis, MO)
Jefferson Elementary - 06 (Pierre, SD)
Jefferson Elementary (Beaver Dam, WI)
Jefferson Elementary (Corona, CA)
Jefferson Elementary (Everett, WA)
Jefferson Elementary (Faribault, MN)
Jefferson Elementary (Gallup, NM)
Jefferson Elementary (Green Bay, WI)
Jefferson Elementary (Jefferson, OH)
Jefferson Elementary (Kenosha, WI)
Jefferson Elementary (Lindsay, CA)
Jefferson Elementary (Mount Vernon, WA)
Jefferson Elementary (New Ulm, MN)
Jefferson Elementary (Oshkosh, WI)
Jefferson Elementary (Paicines, CA)
Jefferson Elementary (Richland, WA)
Jefferson Elementary (Riverside, CA)
Jefferson Elementary School (Bergenfield, NJ)
Jefferson Elementary School (Goshen, IN)
Jefferson Elementary School (Grand Island, NE)
Jefferson Elementary School (Henderson, KY)
Jefferson Elementary School (Mason City, IA)
Jefferson Elementary School (Mesa, AZ)
Jefferson Elementary School (Rigby, ID)
Jefferson Elementary School (Rockland, MA)
Jefferson Elementary School (Schenectady, NY)
Jefferson Elementary School (Sterling Heights, MI)
Jefferson Elementary School (Succasunna, NJ)
Jefferson Elementary School (West Caldwell, NJ)
Jefferson Es (Ardmore, OK)
Jefferson Forest High (Forest, VA)
Jefferson H S (El Paso, TX)
Jefferson H S (Jefferson, TX)
Jefferson H S (San Antonio, TX)
Jefferson High (Conception Jct, MO)
Jefferson High (Daly City, CA)
Jefferson High (Jefferson, WI)
Jefferson High School (Boulder, MT)
Jefferson High School (Dayton, OH)
Jefferson High School (Delphos, OH)
Jefferson High School (Festus, MO)
Jefferson High School (Jefferson, GA)
Jefferson High School (Jefferson, OR)
Jefferson High School (Lafayette, IN)
Jefferson High School (Menan, ID)
Jefferson High School (Newport, MI)
Jefferson High School (Portland, OR)
Jefferson High School (Rockford, IL)
Jefferson High School (Shenandoah Junction, WV)
Jefferson High School (Tampa, FL)
Jefferson Intermediate School (St Charles, MO)
Jefferson Junior High School (Toledo, OH)
Jefferson Junior/Senior High (Greeley, CO)
Jefferson Junior/Senior High School (Edgewater, CO)
Jefferson Middle (Jefferson, WI)
Jefferson Middle (Madison, WI)
Jefferson Middle (San Antonio, TX)
Jefferson Middle (San Gabriel, CA)
Jefferson Middle School (Caldwell, ID)
Jefferson Middle School (Delphos, OH)
Jefferson Middle School (Fort Wayne, IN)
Jefferson Middle School (Jefferson City, TN)
Jefferson Middle School (Midland, MI)
Jefferson Middle School (Monroe, MI)
Jefferson Middle School (Saint Clair Shores, MI)
Jefferson Middle School (Villa Park, IL)
Jefferson Montessori (Carlsbad, NM)
Jefferson Ms Academy (Washington, DC)
Jefferson Pk-8 School (Warren, OH)
Jefferson Preparatory High School (Glendale, AZ)
Jefferson Rise Charter School (Gretna, LA)
Jefferson School (Independence, KS)
Jefferson School (Niles, IL)
Jefferson Senior High (Bloomington, MN)
Jefferson Technical College (Louisville, KY)
Jefferson Terrace Elementary School (Baton Rouge, LA)
Jefferson Township High School (Oak Ridge, NJ)
Jefferson Virtual Franchise (Monticello, FL)
Jefferson Virtual Instruction Course Offerings (Monticello, FL)
Jefferson Virtual Instruction Program (Monticello, FL)
Jefferson West High (Meriden, KS)
Jefferson-Lewis-Hamilton-Herkimer-Oneida Boces (Watertown, NY)
Jefferson-Morgan El Sch (Jefferson, PA)
Jefferson-Morgan Ms/HS (Jefferson, PA)
Jefferson/Todd Alternative Program (Purvis, MS)
Jeffersontown High (Jeffersontown, KY)
Jeffersonville High School (Jeffersonville, IN)
Jeffery A. Bader Memorial School (Holy Cross, AK)
Jeffery Elementary (Kenosha, WI)
Jeffrey City Elementary (Jeffrey City, WY)
Jellick Elementary (Rowland Heights, CA)
Jellico High School (Jellico, TN)
Jellico Learning Academy (Jellico, TN)
Jemez Valley Elementary (Jemez Pueblo, NM)
Jemez Valley High (Jemez Pueblo, NM)
Jemicy School (Owings Mills, MD)
Jemison High School (Huntsville, AL)
Jemison High School (Jemison, AL)
Jena High School (Jena, LA)
Jenison High School (Jenison, MI)
Jenison International Academy (Jenison, MI)
Jenkins County High School (Millen, GA)
Jenkins High School (Savannah, GA)
Jenkins Independent School (Jenkins, KY)
Jenkins Junior/Senior High (Chewelah, WA)
Jenkintown El Sch (Jenkintown, PA)
Jenkintown Middle/High School (Jenkintown, PA)
Jenks East Es (Jenks, OK)
Jenks East Intermediate Es (Tulsa, OK)
Jenks HS (Jenks, OK)
Jenks West Es (Jenks, OK)
Jennie Barker Elem (Garden City, KS)
Jennie F Snapp Middle School (Endicott, NY)
Jennie Reid El (La Porte, TX)
Jennings County High School (North Vernon, IN)
Jennings Experiential High School (Saint Paul, MN)
Jennings First Christian School (Jennings, FL)
Jennings High (Jennings, MO)
Jennings High School (Jennings, LA)
Jennings Middle School (Seffner, FL)
Jennings Randolph Elementary School (Elkins, WV)
Jenny Lind Elementary (Valley Springs, CA)
Jensen Beach High School (Jensen Beach, FL)
Jere Baxter Middle (Nashville, TN)
Jeremiah Academy (Miami, FL)
Jeremiah E Burke High (Dorchester, MA)
Jeremiah Gray Elementary School (Indianapolis, IN)
Jeremiah School (Johnson City, TN)
Jeremy Ranch School (Park City, UT)
Jericho Senior High School (Jericho, NY)
Jerome Academy (Jerome, ID)
Jerome High School (Jerome, ID)
Jerry D. Holland Middle (Baldwin Park, CA)
Jerry L White Center (Detroit, MI)
Jerry Thomas Elementary School (Jupiter, FL)
Jerry Whitehead Elementary (Sparks, NV)
Jersey Christian School (Jersey, GA)
Jersey City Global Charter School (Jersey City, NJ)
Jersey Comm High School (Jerseyville, IL)
Jersey Shore Area Shs (Jersey Shore, PA)
Jersey Village H S (Houston, TX)
Jessamine Career And Technology Center (Nicholasville, KY)
Jesse M. Bethel High (Vallejo, CA)
Jesse Remington High School (Candia, NH)
Jessie Baker (Elk Grove, CA)
Jessie Mae Monroe Elementary (Ash, NC)
Jessie Nelson Academy (Signal Hill, CA)
Jessieville High School (Jessieville, AR)
Jessieville Middle School (Jessieville, AR)
Jesuit College Prep School (Dallas, TX)
Jesuit High School (Carmichael, CA)
Jesuit High School (Portland, OR)
Jesuit High School (Tampa, FL)
Jesup High School (Jesup, IA)
Jesup Middle School (Jesup, IA)
Jesup W. Scott High School (Toledo, OH)
Jesus Chapel School (El Paso, TX)
Jesus Harvest Time Academy (Jackson, NJ)
Jesus Is Lord Christian School (Cheraw, SC)
Jesus Maria Sanroma (Carolina, PR)
Jesus T. Pinero (Cidra, PR)
Jets Yeshivah (Granada Hills, CA)
Jewel C Wietzel Center (San Antonio, TX)
Jewel M. Sumner High School (Kentwood, LA)
Jewell School (Seaside, OR)
Jewish Community High School Of The Bay (San Francisco, CA)
Jewish Institute Of Queens-Boys High School (Fresh Meadows, NY)
Jewish Institute Of Queens-Elementary (Elmhurst, NY)
Jf Webb HS Of Health And Life Sciences (Oxford, NC)
Jhs 104 Simon Baruch (New York, NY)
Jhs 185 Edward Bleeker (Flushing, NY)
Jhs 194 William Carr (Whitestone, NY)
Jhs 220 John J Pershing (Brooklyn, NY)
Jhs 234 Arthur W Cunningham (Brooklyn, NY)
Jhs 383 Philippa Schuyler (Brooklyn, NY)
Jhs 67 Louis Pasteur (Little Neck, NY)
Jhs 78 Roy H Mann (Brooklyn, NY)
Jhs 88 Peter Rouget (Brooklyn, NY)
Jhw Inspire Academy - Afton Oaks (San Antonio, TX)
Jhw Inspire Academy - Bell County (Killeen, TX)
Jhw Inspire Academy - Hays County (San Marcos, TX)
Jhw Inspire Academy - Legacy Ranch (Gonzales, TX)
Jhw Inspire Academy - Rockdale (Rockdale, TX)
Jia Christian Academy (Vallejo, CA)
Jill Chaifetz Transfer High School (Bronx, NY)
Jill Kinmont Boothe (Bishop, CA)
Jim Hill High School (Jackson, MS)
Jim Maples Academy (Porterville, CA)
Jim Ned H S (Tuscola, TX)
Jim Ned Middle (Tuscola, TX)
Jim Pearson Elementary School (Alexander City, AL)
Jim Thorpe Area HS (Jim Thorpe, PA)
Jimmy C Draughn High School (Valdese, NC)
Jimmy Carter Early College H S (La Joya, TX)
Jimmy Huntington School (Huslia, AK)
Jimtown High School (Elkhart, IN)
Jj Hill Montessori (Saint Paul, MN)
Jjaep (Conroe, TX)
Jjaep (Richardson, TX)
Jjaep (San Antonio, TX)
Jjaep Disciplinary School (La Porte, TX)
Jm Rapport School For Career Development (Bronx, NY)
Jo Ann Ford El (Georgetown, TX)
Jo Brighton Skills Center (Wyandotte, MI)
Jo Byrns High School (Cedar Hill, TN)
Jo Daviess Carroll Cte Academy (Elizabeth, IL)
Jo Kelly Sp Ed (Fort Worth, TX)
Joan C Sergent Instructional Resource Center (Sterling Heights, MI)
Joan Macy School (La Verne, CA)
Joan Martin Elementary School (Hobart, IN)
Joann A. Alexie Memorial School (Atmautluak, AK)
Joann Bridges Academy (Greenville, FL)
Joaquin Cigarroa Middle (Laredo, TX)
Joaquin H S (Joaquin, TX)
Joe Barnes Vocational Center (Rosedale, MS)
Joe D. Esther Elem. (Lebanon, MO)
Joe Dale Sparks Campus (Denton, TX)
Joe M Pirtle El (Temple, TX)
Joe Redington Senior Jr/Sr High School (Wasilla, AK)
Joe Serna Jr. Charter (Acampo, CA)
Joe Shafer Middle School (Gallatin, TN)
Joe Shoemaker School (Denver, CO)
Joe Stanley Smith Elementary (Carlsbad, NM)
Joe T. Robinson High School (Little Rock, AR)
Joe V Hart El (Lucas, TX)
Joel Barlow High School (Redding, CT)
Joel E. Barber Elem. (Lebanon, MO)
Joelton Elementary (Joelton, TN)
Johanna Boss High (Stockton, CA)
Johanna Echols-Hansen High (Continuation) (Cloverdale, CA)
Johanna Odonnell Int (Fabens, TX)
Johannesburglewiston High School (Johannesburg, MI)
John & Olive Hinojosa El (Rio Grande City, TX)
