2nd Nature Academy (Nashua, NH)
Nettleton High School (Jonesboro, AR)
Nettleton High School (Nettleton, MS)
Network Charter School (Eugene, OR)
Neuhof School (Mountain Lake, MN)
Neuqua Valley High School (Naperville, IL)
Neuse Charter School (Smithfield, NC)
Neuse Christian Academy (Raleigh, NC)
Neva King Cooper Educational Center (Homestead, FL)
Nevada Connections Academy (Reno, NV)
Nevada Elementary School (Rosston, AR)
Nevada High (Nevada, MO)
Nevada High School (Nevada, IA)
Nevada High School (Rosston, AR)
Nevada Prep Charter School (Las Vegas, NV)
Nevada Regional Tech.-Ctr. (Nevada, MO)
Nevada State High School Downtown (Las Vegas, NV)
Nevada State High School Downtown Henderson (Henderson, NV)
Nevada State High School Henderson (Henderson, NV)
Nevada State High School Ii Meadowwood (Reno, NV)
Nevada State High School Iii Sunrise (Las Vegas, NV)
Nevada State High School Northwest (Las Vegas, NV)
Nevada State High School Southwest (Las Vegas, NV)
Nevada State High School Summerlin (Las Vegas, NV)
Nevada Union High (Grass Valley, CA)
Neville High School (Monroe, LA)
Nevin Avenue Elementary (Los Angeles, CA)
Nevis Area Learning Program (Nevis, MN)
Nevis Secondary (Nevis, MN)
Nevitt Forest Elementary (Anderson, SC)
New 6th H S - Pearson Ranch (Round Rock, TX)
New Albany Early Learning Center (New Albany, OH)
New Albany High School (New Albany, MS)
New Albany High School (New Albany, OH)
New Albany Primary School (New Albany, OH)
New Albany Senior High School (New Albany, IN)
New Albany/S.Tippah/Union Co. Alt (New Albany, MS)
New Alliance Academy The (Paramus, NJ)
New America School - Las Cruces (Las Cruces, NM)
New America School - Lowry (Denver, CO)
New America School - Thornton (Thornton, CO)
New America School (Albuquerque, NM)
New America School (Lakewood, CO)
New American Academy At Roberto Clemente State Park (The) (Bronx, NY)
New Approach Alternative High Sch (Vandalia, IL)
New Athens High School (New Athens, IL)
New Auburn High (New Auburn, WI)
New Baden Elementary School (New Baden, IL)
New Bedford Academy (Lambertville, MI)
New Bedford High (New Bedford, MA)
New Beginning Learning Center (Bainbridge, GA)
New Beginnings - 89 (Aberdeen, SD)
New Beginnings (Fairfield, NJ)
New Beginnings (Lorain, OH)
New Beginnings Academy (Hyde Park, MA)
New Beginnings Alternative High School (Cedar Springs, MI)
New Beginnings Christian Academy (Jacksonville, FL)
New Beginnings Christian School (Union Mills, NC)
New Beginnings Christian School (Williamson, WV)
New Beginnings Education Center (Kissimmee, FL)
New Beginnings High School (Winter Haven, FL)
New Beginnings Regional Safe Schools Program (Elgin, IL)
New Beginnings Vocational Program Llc (Washington, DC)
New Berlin High School (New Berlin, IL)
New Berlin Middle/High (New Berlin, WI)
New Bern Christian Academy (New Bern, NC)
New Bern High (New Bern, NC)
New Bethlehem Wesleyan Methodist School (New Bethlehem, PA)
New Bloomfield Elem. (New Bloomfield, MO)
New Bloomfield High (New Bloomfield, MO)
New Boston Daep (New Boston, TX)
New Boston Elem School (New Boston, IL)
New Boston H S (New Boston, TX)
New Braunfels Christian Academy (New Braunfels, TX)
New Braunfels H S (New Braunfels, TX)
New Bremen High School (New Bremen, OH)
New Bridge Academy (Sandston, VA)
New Bridge High School (Grants Pass, OR)
New Bridge Middle (Jacksonville, NC)
New Bridge School (Ogden, UT)
New Brighton Area HS (New Brighton, PA)
New Britain High School (New Britain, CT)
New Brockton High School (New Brockton, AL)
New Brunswick Adult High School (New Brunswick, NJ)
New Brunswick High School (New Brunswick, NJ)
New Buffalo Elementary School (New Buffalo, MI)
New Buffalo Senior High School (New Buffalo, MI)
New Campus Center (Traverse City, MI)
New Canaan High School (New Canaan, CT)
New Caney El (New Caney, TX)
New Caney H S (New Caney, TX)
New Castle Elementary School (New Castle, KY)
New Castle High School (New Castle, IN)
New Castle Shs (New Castle, PA)
New Central Elem School (Havana, IL)
New Century Academy (Hutchinson, MN)
New Century International Middle (Fayetteville, NC)
New Century Montessori Academy (Garland, TX)
New Century Technology High School (Huntsville, AL)
New Chance (Hastings, MN)
New City School (Minneapolis, MN)
New Concord Elementary School (New Concord, OH)
New Connections (Apple Valley, MN)
New Covenant Academy (Los Angeles, CA)
New Covenant Academy (Mansfield, PA)
New Covenant Academy (Springfield, MO)
New Covenant Christian Academy (Hardin, KY)
New Covenant Christian School (Bronx, NY)
New Covenant Christian School (Lebanon, PA)
New Covenant School (Anderson, SC)
New Covenant School Inc. (Melbourne, FL)
New Covenant Schools (Lynchburg, VA)
New Crossroads Academy (Bisbee, AZ)
New Dawn Charter High School (Brooklyn, NY)
New Dawn School (Sikeston, MO)
New Day (Billings, MT)
New Day Academy (Alturas, CA)
New Day Academy (Dothan, AL)
New Day Cs (Huntingdon, PA)
New Day School (Billings, MT)
New Deal Daep (New Deal, TX)
New Deal El (New Deal, TX)
New Deal H S (New Deal, TX)
New Design High School (New York, NY)
New Designs Charter (Los Angeles, CA)
New Designs Charter School-Watts (Los Angeles, CA)
New Diana H S (Diana, TX)
New Dimensions (Morganton, NC)
New Dimensions High School (Kissimmee, FL)
New Direction (Columbiana, AL)
New Directions - Geneva (Geneva, IL)
New Directions (San Antonio, TX)
New Directions (Uniontown, PA)
New Directions Academy (Charlotte, TN)
New Directions Academy (Parkville, MD)
New Directions Center (Portsmouth, VA)
New Directions Community School Of Orlando (Orlando, FL)
New Directions Program (St Charles, IL)
New Directions Secondary School (Bronx, NY)
New District High School (Brooklyn, NY)
New Dominion Academy (Austin, MN)
New Dominion School (Austin, MN)
New Dorp High School (Staten Island, NY)
New Eagle El Sch (Wayne, PA)
New Egypt High School (New Egypt, NJ)
New El (Dallas, TX)
New El (Richardson, TX)
New Ellenton Steam Magnet Middle (New Ellenton, SC)
New England Academy (Beverly, MA)
New England Adolescent Research Institute (Holyoke, MA)
New England High School (New England, ND)
New England Innovation Academy (Marlborough, MA)
New England Jewish Academy (West Hartford, CT)
New England Valley Mennonite (Tamaqua, PA)
New Era Academy (Baltimore, MD)
New Explorations Into Sciencetech And Math High School (New York, NY)
New Fairfield High School (New Fairfield, CT)
New Fairfield Middle School (New Fairfield, CT)
New Fellowship Christian School (Titusville, FL)
New Foundations Cs (Philadelphia, PA)
New Franklin Christian Academy (Minerva, OH)
New Franklin Middle-High (New Franklin, MO)
New Franklin School (Portsmouth, NH)
New Frontier Day School (Prairie Du Chien, WI)
New Frontier High School (Kemmerer, WY)
New Futures High School (Albuquerque, NM)
New Garden El Sch (Toughkenamon, PA)
New Garden Friends School (Greensboro, NC)
New Generation Christian Academy (Davie, FL)
New Generation School (Lake City, FL)
New Georgia Elementary School (Villa Rica, GA)
New Glarus High (New Glarus, WI)
New Groningen School (Zeeland, MI)
New H S (Alvin, TX)
New H S (New Caney, TX)
New Hampstead High School (Bloomingdale, GA)
New Hampton High School (New Hampton, IA)
New Hanover High (Wilmington, NC)
New Harmony High Institute (New Orleans, LA)
New Hartford Elementary School (New Hartford, IA)
New Hartford Senior High School (New Hartford, NY)
New Harvest Christian School (Norwalk, CA)
New Haven Academy (New Haven, CT)
New Haven Elementary School (New Haven, MI)
New Haven Elementary School (Union, KY)
New Haven High (New Haven, MO)
New Haven High School (New Haven, MI)
New Haven Intermediate School (New Haven, IN)
New Haven Jr/Sr High School (New Haven, IN)
New Haven Middle (New Haven, MO)
New Haven School (Saratoga Springs, UT)
New Haven School (Spanish Fork, UT)
New Haven Yfs (Vista, CA)
New Heights Academy (Charleston, IL)
New Heights Academy Charter School (New York, NY)
New Heights Charter School Of Brockton (Brockton, MA)
New Heights Elementary (East Grand Forks, MN)
New Heights Middle School (Brooklyn, NY)
New Heights School Inc. (Stillwater, MN)
New Heights School Tn Childrens Home West (Pinson, TN)
New Hingham Regional Elementary (Chesterfield, MA)
New Holland Mennonite School (Batesburg, SC)
New Holstein High (New Holstein, WI)
New Holstein Middle (New Holstein, WI)
New Hope Academy (Doylestown, PA)
New Hope Academy (Hyattsville, MD)
New Hope Academy (Landover Hills, MD)
New Hope Academy (Lehi, UT)
New Hope Academy (Prattville, AL)
New Hope Alternative High (Lovington, NM)
New Hope Carolinas (Rock Hill, SC)
New Hope Christian Academy (Circleville, OH)
New Hope Christian Academy (Minneola, FL)
New Hope Christian Academy (Saint Marys, GA)
New Hope Christian Academy (Silva, MO)
New Hope Christian Academy (Thomasville, NC)
New Hope Christian School (Foxworth, MS)
New Hope Christian School (Neenah, WI)
New Hope Christian Schools (Grants Pass, OR)
New Hope Elementary School (New Hope, AL)
New Hope H S (Leander, TX)
New Hope High School (Columbus, MS)
New Hope High School (New Hope, AL)
New Hope Middle School (Dalton, GA)
New Hope School C/O John Hess (Rossville, IN)
New Hope-Solebury HS (New Hope, PA)
New Horizon Academy (Ward, AR)
New Horizon Alternative School (Bessemer, AL)
New Horizon Christian School (Klamath Falls, OR)
New Horizon H S (Joshua, TX)
New Horizon High (Banning, CA)
New Horizon High School (Pocatello, ID)
New Horizon School (Renton, WA)
New Horizon School And Learning Center (Santa Rosa, CA)
New Horizons (Lewistown, IL)
New Horizons Academy (Brigham City, UT)
New Horizons Academy (Wauseon, OH)
New Horizons Alternative (Reeds Spring, MO)
New Horizons Center For Learning (Las Vegas, NV)
New Horizons Christian Academy (West Palm Beach, FL)
New Horizons For Learning (Shorewood, WI)
New Horizons High School (Pasco, WA)
New Horizons Learning Center (Greenville, TX)
New Horizons Learning Center (Panama City, FL)
New Horizons New Directions Preparatory Academy (Griffin, GA)
New Hyde Park Memorial High School (New Hyde Park, NY)
New Iberia Senior High School (New Iberia, LA)
New Independence Academy (Goldsboro, NC)
New J H (Pearland, TX)
New Jersey Center For Judaic Stds (Lakewood, NJ)
New Jersey Training School (Jamesburg, NJ)
New Jersey United Christian Academy (Cream Ridge, NJ)
New Jersey Virtual School (Tinton Falls, NJ)
New Jerusalem Academy (Kissimmee, FL)
New Jerusalem Christian Academy (Seffner, FL)
New Kent High (New Kent, VA)
New Knoxville High School (New Knoxville, OH)
New L.E.A.P.S. Academy (Lutz, FL)
New Lakeline Area El (Round Rock, TX)
New Leaf Academy (Bend, OR)
New Leaf Center (Ocala, FL)
New Leaf School For Change (Neptune Beach, FL)
New Lebanon Junior-Senior High School (New Lebanon, NY)
New Legacy Charter School (Aurora, CO)
New Lexington High School (New Lexington, OH)
New Liberty Innovation School (Salem, MA)
New Life Academy (Elizabeth City, NC)
New Life Academy (Fort Myers, FL)
New Life Academy (Vineland, NJ)
New Life Academy (Woodbury, MN)
New Life Christian Academy (Clinton, NC)
New Life Christian Academy (Dallas, TX)
New Life Christian Academy (Fayetteville, NC)
New Life Christian Academy (Fryeburg, ME)
New Life Christian Academy (Kimball, MI)
New Life Christian Academy (Peoria, IL)
New Life Christian Academy (Summersville, WV)
New Life Christian Academy (Troy, AL)
New Life Christian Academy Hybrid (San Antonio, TX)
New Life Christian Academy Of El Paso Inc. (El Paso, TX)
New Life Christian School (El Monte, CA)
New Life Christian School (Ephrata, WA)
New Life Christian School (Hamilton, NY)
New Life Christian School (Longview, TX)
New Life Christian School (Olivehurst, CA)
New Life Christian School (Tonawanda, NY)
New Life Preparatory Academy (Pompano Beach, FL)
New Life Tabernacle Academy Inc (Seffner, FL)
New Lima Es (Wewoka, OK)
New Lima HS (Wewoka, OK)
New Lisbon Correctional Institution (New Lisbon, WI)
New Lisbon Junior High/High (New Lisbon, WI)
New London Alternative School (New London, MN)
New London Elementary School (New London, OH)
New London High (New London, WI)
New London High School (New London, CT)
New London High School (New London, OH)
New London Jr-Sr High School (New London, IA)
New London-Spicer Sr. (New London, MN)
New Lothrop High School (New Lothrop, MI)
New Madrid Bend Youth Ctr. (New Madrid, MO)
New Madrid R-I Tech Skills Ctr (New Madrid, MO)
New Manchester High School (Douglasville, GA)
New Manna Christian School (Marion, NC)
New Market Elementary (New Market, TN)
New Market High School (Tumwater, WA)
New Market School (New Market, AL)
New Market Skills Center (Tumwater, WA)
New Marlborough Central (Sheffield, MA)
New Medina Learning Institute (Philadelphia, PA)
New Mexico Connections Academy (Santa Fe, NM)
New Miami High School (Hamilton, OH)
New Middle #9 At Gulf Way (Round Rock, TX)
New Middle At Mcneil (Round Rock, TX)
New Midway/Woodsboro Elementary (Keymar, MD)
New Milford High School (New Milford, CT)
New Milford High School (New Milford, NJ)
New Millenium Academy Charter Sch (Brooklyn Center, MN)
New Millennium Secondary (Gardena, CA)
New Mission High School (Hyde Park, MA)
New Open World Academy K-12 (Los Angeles, CA)
New Opportunities Charter (Inglewood, CA)
New Options High School (Allendale, MI)
New Orleans Center For Creative Arts (New Orleans, LA)
New Oxford Shs (New Oxford, PA)
New Palestine High School (New Palestine, IN)
New Palestine Jr High School (New Palestine, IN)
New Paltz Senior High School (New Paltz, NY)
New Paradigm College Prep (Detroit, MI)
New Paths Alternative Learning Prgm (Crookston, MN)
New Philadelphia High School (New Philadelphia, OH)
New Plymouth High School (New Plymouth, ID)
New Prague Credit Recovery (New Prague, MN)
New Prague Senior High (New Prague, MN)
New Prague Summer Credit Recovery (New Prague, MN)
New Prairie High School (New Carlisle, IN)
New Prairie Middle School (New Carlisle, IN)
New Prospect Elementary School (Alpharetta, GA)
New Prospect Fwb Church & Christian School (Pamplico, SC)
New Providence Elementary (Lexington, SC)
New Providence High School (New Providence, NJ)
New Providence Middle School (New Providence, NJ)
New Richmond High (New Richmond, WI)
New Richmond High School (New Richmond, OH)
New Richmond Middle (New Richmond, WI)
New Riegel High School (New Riegel, OH)
New River Elementary School (Phoenix, AZ)
New Road School Of Parlin (Parlin, NJ)
New Road School Of Somerset (Somerset, NJ)
New Roads School (Santa Monica, CA)
New Rochelle High School (New Rochelle, NY)
New Rockford-Sheyenne High School (New Rockford, ND)
New Roots Charter School (Ithaca, NY)
New Salem-Almont High School (New Salem, ND)
New Sarpy Elementary School (Destrehan, LA)
New School Community Day (Watsonville, CA)
New School For The Arts (Tempe, AZ)
New School For Youth Empowerment (Milwaukee, WI)
New School High (Plymouth, MI)
New Site High School (New Site, MS)
New Smyrna Beach High School (New Smyrna Beach, FL)
New Song School (Sonoma, CA)
New Start - Basic Alt. Ctr. (Glen Allen, VA)
New Start (Seattle, WA)
New Story (Du Bois, PA)
New Story (Monroeville, PA)
New Story (Mountville, PA)
New Story (New Cumberland, PA)
New Story (Reading, PA)
New Story (Selinsgrove, PA)
New Story School (Berwick, PA)
New Story School (Harrisburg, PA)
New Story School (Indiana, PA)
New Story School (Wyoming, PA)
New Story School (Wyomissing, PA)
New Suffolk School (New Suffolk, NY)
New Summerfield School (New Summerfield, TX)
New System School  Inc. (Rockwood, TN)
New Tech H S At B F Darrell H S (Dallas, TX)
New Tech H S At Coppell (Coppell, TX)
New Tech High - Zion-Benton East (Zion, IL)
New Tech Institute (Evansville, IN)
New Technology High (Napa, CA)
New Technology High (Sacramento, CA)
