500 Reach (Kansas City, KS)
Randolph Clay High School (Cuthbert, GA)
Randolph County Alternative Center (Elkins, WV)
Randolph County High School (Wedowee, AL)
Randolph Elem (Topeka, KS)
Randolph Elementary School (Randolph, VT)
Randolph H S (Randolph A F B, TX)
Randolph High (Randolph, MA)
Randolph High (Randolph, WI)
Randolph High School (Randolph, NE)
Randolph High School (Randolph, NJ)
Randolph Middle (Charlotte, NC)
Randolph Middle School (Randolph, NJ)
Randolph School (Huntsville, AL)
Randolph Secondary (Randolph, MN)
Randolph Senior High School (Randolph, NY)
Randolph Southern Jr-Sr High Sch (Lynn, IN)
Randolph Technical Career Center (Randolph, VT)
Randolph Technical Center (Elkins, WV)
Randolph Union High School (Randolph, VT)
Randolph-Henry High (Charlotte C H, VA)
Randolph-Macon Academy (Front Royal, VA)
Randolphroanoke Career Technology Center (Wedowee, AL)
Random Lake High (Random Lake, WI)
Random Lake Middle (Random Lake, WI)
Range El (Mesquite, TX)
Range View Elementary (Severance, CO)
Rangeland Elementary (Louisville, KY)
Rangeley Lakes Regional School (Rangeley, ME)
Rangely Christian Academy (Rangely, CO)
Rangely Junior/Senior High School (Rangely, CO)
Ranger H S (Ranger, TX)
Ranger Online (Forest Lake, MN)
Rangeview High School (Aurora, CO)
Rankin County Learning Center (Brandon, MS)
Rankin Elementary School (Swartz Creek, MI)
Rankin School (Rankin, TX)
Rann El (Decatur, TX)
Ranney School (Tinton Falls, NJ)
Ransom Everglades School (Miami, FL)
Ransom Grade School (Ransom, IL)
Rantoul Twp High School (Rantoul, IL)
Rap Elizabeth (Elizabeth, IL)
Rap Freeport (Freeport, IL)
Rapelje High School (Rapelje, MT)
Raphael Academy (New Orleans, LA)
Rapid City Christian School (Rapid City, SD)
Rapid City High School - 45 (Rapid City, SD)
Rapides Alternative Positive Program For Students (Alexandria, LA)
Rapides High School (Lecompte, LA)
Rapides Training Academy (Alexandria, LA)
Rappahannock Co. High (Washington, VA)
Rappahannock High (Warsaw, VA)
Raptor Program (New Ulm, MN)
Rare Earth High (Continuation) (Rosamond, CA)
Raritan High School (Hazlet, NJ)
Rasg Hebrew Academy (Miami Beach, FL)
Rashkis Elementary (Chapel Hill, NC)
Raton High (Raton, NM)
Raton Intermediate (Raton, NM)
Rattan HS (Rattan, OK)
Rattan Jhs (Rattan, OK)
Raul A Gonzalez Jr El (Weslaco, TX)
Raul Grijalva Elementary School (Tucson, AZ)
Raul Ybarra (Maricao, PR)
Raven School (Fairbanks, AK)
Ravena-Coeymans-Selkirk Middle School (Ravena, NY)
Ravena-Coeymans-Selkirk Senior High School (Ravena, NY)
Ravenna High School (Ravenna, MI)
Ravenna High School (Ravenna, OH)
Ravenna Middle School (Ravenna, MI)
Ravenna Senior High (Ravenna, NE)
Ravenscroft School (Raleigh, NC)
Ravenswood Christian School (Chicago, IL)
Ravenswood High School (Ravenswood, WV)
Ravenswood Middle School (Ravenswood, WV)
Ravenwood Elementary (Kansas City, MO)
Ravenwood Elementary (Olathe, KS)
Ravenwood High School (Brentwood, TN)
Ravia Public School (Ravia, OK)
Rawlins County Elementary (Atwood, KS)
Rawlins County Jr/Sr High School (Atwood, KS)
Rawlins High School (Rawlins, WY)
Rawson-Saunders-Austin Area School For Dyslexics (Austin, TX)
Ray Borane Middle School (Douglas, AZ)
Ray Braswell H S (Aubrey, TX)
Ray Childers Elementary (Hickory, NC)
Ray E Kilmer Elementary School (Colorado Springs, CO)
Ray Elem School (Chicago, IL)
Ray Elementary School (Ray, ND)
Ray H S (Corpus Christi, TX)
Ray High School (Ray, ND)
Ray Jr/Sr High School (Kearny, AZ)
Ray Miller Elem. (Kirksville, MO)
Ray Street Academy (Graham, NC)
Ray V. Pottorf Elementary School (Fort Myers, FL)
Ray Wiltsey Middle (Ontario, CA)
Rayburn Correctional Institute (Angie, LA)
Rayburn H S (Ivanhoe, TX)
Raye-Allen El (Temple, TX)
Raymond A. Geiger Elementary School (Lewiston, ME)
Raymond B. Stewart Middle School (Zephyrhills, FL)
Raymond Benson Primary School (Itasca, IL)
Raymond Central Preschool (Raymond, NE)
Raymond Education Campus (Washington, DC)
Raymond Elementary (Fullerton, CA)
Raymond Elementary School (Raymond, OH)
Raymond Elementary School (Raymond, WA)
Raymond Gabaldon Elementary (Los Lunas, NM)
Raymond Granite High (Raymond, CA)
Raymond High School (Raymond, MS)
Raymond High School (Raymond, NH)
Raymond Hill School (New Britain, CT)
Raymond J. Fisher Middle (Los Gatos, CA)
Raymond J. Lesniak Experience Strength & Hope Recovery HS (Roselle, NJ)
Raymond Jr High (Chase, KS)
Raymond Jr Sr High School (Raymond, WA)
Raymond Laborde Correctional Center (Cottonport, LA)
Raymond Laperche School (Smithfield, RI)
Raymond S. Kellis (Glendale, AZ)
Raymondville H S (Raymondville, TX)
Raymondville Options Academic Academy (Raymondville, TX)
Raymore Elem. (Raymore, MO)
Raymore-Peculiar Sr. High (Peculiar, MO)
Rayne High School (Rayne, LA)
Raytown Education Ctr. (Raytown, MO)
Raytown Middle (Kansas City, MO)
Raytown South Sr. High (Raytown, MO)
Raytown Sr. High (Raytown, MO)
Rayville High School (Rayville, LA)
Rayville Junior High School (Rayville, LA)
Razdolna School (Homer, AK)
Razi School (Woodside, NY)
Rb Stall High (North Charleston, SC)
Rcb College Preparatory Academy (Peoria, AZ)
Rcma Wimauma Community Academy (Wimauma, FL)
Rcs Learning Center (Natick, MA)
Re-Education Services (Mentor, OH)
Re-Engagement (Spokane, WA)
Re-Engagement School (Nine Mile Falls) (Nine Mile Falls, WA)
Re-Entry High School (Lakewood, WA)
Re-Start Program (Champaign, IL)
Rea View Elementary (Waxhaw, NC)
Reach Academy (El Cajon, CA)
Reach Academy (Santa Ana, CA)
Reach Academy (Shoreview, MN)
Reach Academy (The) (West Harrison, NY)
Reach Academy Inc (Jacksonville, FL)
Reach Center Summit Lake (Akron, OH)
Reach Cyber Cs (Harrisburg, PA)
Reach H S (Fort Worth, TX)
Reach Programs (Red Wing, MN)
Reach School (Bucksport, ME)
Read Academy Of Sacramento (Sacramento, CA)
Reading Community High School (Reading, OH)
Reading High School (Reading, MI)
Reading Memorial High (Reading, MA)
Reading Muhlenberg Ctc (Reading, PA)
Reading Sda Jr Academy (Reading, PA)
Reading Shs (Reading, PA)
Reading-Fleming Intermediate School (Flemington, NJ)
Reagan College Preparatory High (Milwaukee, WI)
Reagan County H S (Big Lake, TX)
Reagan El (Abilene, TX)
Reagan Elementary (Clovis, CA)
Reagan Elementary School (Rogers, AR)
Reagan H S (San Antonio, TX)
Reagan Middle School (Dixon, IL)
Real Academy (Reaching Every Adolescent Learner) (Lakeland, FL)
Real Life Inc (Tampa, FL)
Real Salt Lake Academy High School (Herriman, UT)
Realms High School (Bend, OR)
Realms Of Inquiry (Taylorsville, UT)
Reardan Middle-Senior High School (Reardan, WA)
Reavis Elem School (Lansing, IL)
Reavis High School (Burbank, IL)
Rebecca M Johnson (Springfield, MA)
Rebecca Turner Elemtnary School (Mount Vernon, NY)
Reborn Christian Academy (Kissimmee, FL)
Rebound School Of Opportunity (Meridian, ID)
Rebul Academy (Learned, MS)
Recovery Education Campus (Ralls, TX)
Rector Elementary School (Rector, AR)
Rector High School (Rector, AR)
Red Bank High School (Chattanooga, TN)
Red Bank Middle School (Chattanooga, TN)
Red Bank Regional High School (Little Silver, NJ)
Red Bay High School (Red Bay, AL)
Red Bird Christian Scho (Beverly, KY)
Red Bluff Community Day (Red Bluff, CA)
Red Bluff High (Red Bluff, CA)
Red Boiling Springs School (Red Boiling Spg, TN)
Red Bud Elementary School (Calhoun, GA)
Red Bud High School (Red Bud, IL)
Red Canyon High School (Edwards, CO)
Red Cloud High School (Red Cloud, NE)
Red Cloud Indian School (Pine Ridge, SD)
Red Comet (Frisco, TX)
Red Creek High School (Red Creek, NY)
Red Creek Middle School (Red Creek, NY)
Red El (Houston, TX)
Red Hawk Elementary (Temecula, CA)
Red Hill Jr/Sr High School (Bridgeport, IL)
Red Hills Middle (Richfield, UT)
Red Hook Senior High School (Red Hook, NY)
Red House Run Elementary (Baltimore, MD)
Red Jacket Elementary School (Shortsville, NY)
Red Jacket High School (Shortsville, NY)
Red Lake Alternative Learning (Red Lake, MN)
Red Lake County Central High School (Oklee, MN)
Red Lake Elementary (Red Lake, MN)
Red Lake Secondary (Red Lake, MN)
Red Land Shs (Lewisberry, PA)
Red Level Elementary School (Red Level, AL)
Red Level High School (Red Level, AL)
Red Lion Area Jhs (Red Lion, PA)
Red Lion Area Shs (Red Lion, PA)
Red Lion Christian Academy (Bear, DE)
Red Lion Christian School (Red Lion, PA)
Red Lodge High School (Red Lodge, MT)
Red Mesa High School (Teec Nos Pos, AZ)
Red Mountain High School (Mesa, AZ)
Red Oak Elementary (Shakopee, MN)
Red Oak Es (Red Oak, OK)
Red Oak H S (Red Oak, TX)
Red Oak HS (Red Oak, OK)
Red Oak Junior/Senior High School (Red Oak, IA)
Red Oak-Sturgeon Elem (Alberta, VA)
Red Pine Elementary (Eagan, MN)
Red Pump Elementary School (Bel Air, MD)
Red River Area Learning Center (Moorhead, MN)
Red River Elementary School (Coushatta, LA)
Red River High School (Coushatta, LA)
Red River High School (Grand Forks, ND)
Red Rock Academy (Sedona, AZ)
Red Rock Central Secondary (Lamberton, MN)
Red Rock El (Red Rock, TX)
Red Rock Elementary (Royal City, WA)
Red Rock Elementary (Woodbury, MN)
Red Sands El (El Paso, TX)
Red Springs High (Red Springs, NC)
Red Springs Middle (Red Springs, NC)
Red Top Meadows (Wilson, WY)
Red Top Middle School (Emerson, GA)
Red Valley/Cove High School (Teec Nos Pos, AZ)
Red Willow Colony School - 09 (White, SD)
Red Wing HS Credit Recovery (Red Wing, MN)
Red Wing Senior High (Red Wing, MN)
Redan High School (Stone Mountain, GA)
Redbank Valley HS (New Bethlehem, PA)
Redcliffe Elementary (Aiken, SC)
Redding Christian School (Palo Cedro, CA)
Redding Collegiate Academy (Redding, CA)
Redding Elementary (San Francisco, CA)
Redding School Of The Arts (Redding, CA)
Reddix Center (San Antonio, TX)
Redeemer Christian School (Mesa, AZ)
Redeemer Christian School (Ocala, FL)
Redeemer Classical School (Keezletown, VA)
Redeemer Lutheran School (Verona, PA)
Redeemer Preparatory Academy (Statesville, NC)
Redemption Baptist Academy (Lancing, TN)
Redemption Road Christian Academy (Danville, KY)
Redfield High School - 01 (Redfield, SD)
Redford Union High School (Redford, MI)
Redford Union Virtual Learning (Redford, MI)
Redgranite Correctional Institute (Redgranite, WI)
Redland Christian Academy (Homestead, FL)
Redland Elementary School (Oregon City, OR)
Redland Oaks El (San Antonio, TX)
Redlands Adventist Academy (Redlands, CA)
Redlands Eacademy (Redlands, CA)
Redlands East Valley High (Redlands, CA)
Redlands Senior High (Redlands, CA)
Redmond High School (Redmond, OR)
Redmond High School (Redmond, WA)
Redmond Proficiency Academy (Redmond, OR)
Redondo Beach Learning Academy (Redondo Beach, CA)
Redondo Union High (Redondo Beach, CA)
Redstone Elementary School (Highlands Ranch, CO)
Reduced Services (Arcadia, FL)
Redwater H S (Redwater, TX)
Redwood Academy Of Ukiah (Ukiah, CA)
Redwood Christian Middle School And High School (San Lorenzo, CA)
Redwood Coast Montessori (Manila, CA)
Redwood Continuation High (Castro Valley, CA)
Redwood Elementary (Crescent City, CA)
Redwood Elementary (Fontana, CA)
Redwood Heights Elementary (Oakland, CA)
Redwood High (Larkspur, CA)
Redwood High (Redwood City, CA)
Redwood High (Visalia, CA)
Redwood Valley Alternative (Redwood Falls, MN)
Redwood Valley Senior High (Redwood Falls, MN)
Reeces Creek El (Killeen, TX)
Reeceville El Sch (Coatesville, PA)
Reed Academy (Framingham, MA)
Reed City High School (Reed City, MI)
Reed Elem. (St Louis, MO)
Reed Elementary (Tiburon, CA)
Reed Elementary School (Dumas, AR)
Reed Intermediate School (Newtown, CT)
Reed Point High School (Reed Point, MT)
Reed-Custer Elementary School (Braidwood, IL)
Reed-Custer High School (Braidwood, IL)
Reedley High (Reedley, CA)
Reedley Middle College High (Reedley, CA)
Reeds Elementary (Lexington, NC)
Reeds Road Elementary School (Galloway, NJ)
Reeds Spring High (Reeds Spring, MO)
Reeds Spring Intermediate (Reeds Spring, MO)
Reeds Spring Middle (Reeds Spring, MO)
Reedsburg Area High (Reedsburg, WI)
Reedsport Community Charter School (Reedsport, OR)
Reedsville Jr/Sr High School (Reedsville, WI)
Reedville Elementary School (Aloha, OR)
Reedy H S (Frisco, TX)
Reef-Sunset Secondary Community Day (Avenal, CA)
Reeltown High School (Notasulga, AL)
Reese High School (Reese, MI)
Reese Middle School (Reese, MI)
Reethspuffer High School (Muskegon, MI)
Reeves High School (Reeves, LA)
Refine Learning Center Ii, Inc. (Fort Lauderdale, FL)
Reflections Of Christ Christian Academy (Hildebran, NC)
Reform Elementary School (Reform, AL)
Reformed Heritage Christian School (Kalamazoo, MI)
Refugio El (Refugio, TX)
Refugio H S (Refugio, TX)
Refugio High (Santa Ynez, CA)
Reg Day School For Deaf (Odessa, TX)
Reg'L Learning Center Star Boone (Machesney Park, IL)
Reg'L Safe School Program Roe #28 (Atkinson, IL)
Regency Christian Academy (Orlando, FL)
Regent High School (Cleveland, OH)
Regent Park Scholars Charter Academy (Detroit, MI)
Regents Academy (Nacogdoches, TX)
Regents School Of Austin (Austin, TX)
Regents School Of Charlottesville (Charlottesville, VA)
Regents School Of Oxford (Oxford, MS)
Reggio Magnet School Of The Arts (Avon, CT)
Regina Catholic Education Center (Iowa City, IA)
Regina Luminis Academy (Berwyn, PA)
Reginald Bennett Elementary School (Boiceville, NY)
Reginald F. Lewis High (Baltimore, MD)
Regino Vega Martinez (Nueva Elemental Bo Santa Clara) (Cidra, PR)
Region 1 (Flagstaff, AZ)
Region 2 (Phoenix, AZ)
Region 3 (Tucson, AZ)
Regional Achievement Academy (Tinton Falls, NJ)
Regional Alop School (Bloomington, IL)
Regional Center For Change (Rock Falls, IL)
Regional Center For Change Alop Program (Rock Falls, IL)
Regional Day School (Hamilton, NJ)
Regional Day School (Jersey City, NJ)
Regional Justice Center (Kent, WA)
Regional Programs School (Cold Spring, KY)
Regis Catholic Schools (Eau Claire, WI)
Regis High & Middle School (Eau Claire, WI)
Regis High School (New York, NY)
Regis Jesuit High School (Aurora, CO)
Regl Inst Scholastic Excellence (Chicago Heights, IL)
Regl Inst Scholastic Excellence (Worth, IL)
Regl Learning Academy Star Boone (Belvidere, IL)
Rehobeth High School (Dothan, AL)
Rehoboth Christian School (Rehoboth, NM)
Rehrersburg Christian School (Bethel, PA)
Reicher Catholic High School (Waco, TX)
Reid High (Long Beach, CA)
Reid Park Academy (Charlotte, NC)
Reid Ross Classical High (Fayetteville, NC)
Reidland Elementary School (Paducah, KY)
Reidland Middle School (Paducah, KY)
Reidsville High (Reidsville, NC)
Reiffton Sch (Reading, PA)
Reign Homeschooling Academy (Ormond Beach, FL)
Reinberg Elem School (Chicago, IL)
Reinhard Early Childhood Center (Bellmore, NY)
Reitz Memorial High School (Evansville, IN)
Relentless Or Nothing Institute (Inglewood, CA)
Relevant Academy Of Eaton County (Grand Ledge, MI)
Remnant Christian Academy (Savannah, GA)
Remnant Christian School (Madera, CA)
Remsen Junior-Senior High School (Remsen, NY)
Remynse El (Grand Prairie, TX)
Rena B Wright Primary (Chesapeake, VA)
Renaissance (Brawley, CA)
Renaissance Academy (Austin, TX)
Renaissance Academy (Baltimore, MD)
Renaissance Academy (Kaysville, UT)
Renaissance Academy Cs (Phoenixville, PA)
Renaissance Academy Tucson (Tucson, AZ)
Renaissance Alternative High School (Bremerton, WA)
Renaissance Alternative High School (Clarkston, MI)
Renaissance Arts Academy (Los Angeles, CA)
Renaissance At Mathson (San Jose, CA)
Renaissance Charter Academy (River Falls, WI)
Renaissance Charter At Crown Point (Ocoee, FL)
Renaissance Charter High School For Innovation (New York, NY)
Renaissance Charter School (Jackson Heights, NY)
Renaissance Charter School At Boggy Creek (Kissimmee, FL)
Renaissance Charter School At Summit (West Palm Beach, FL)
Renaissance Charter School At Tapestry (Kissimmee, FL)
Renaissance Charter School At Wellington (Wellington, FL)
Renaissance Classical Christian Academy (Fayetteville, NC)
Renaissance County Community (Hawthorne, CA)
Renaissance Court (Lakeport, CA)
Renaissance High (Santa Paula, CA)
Renaissance High Continuation (La Selva Beach, CA)
Renaissance High School (Detroit, MI)
Renaissance High School (Franklin, TN)
Renaissance High School (Meridian, ID)
Renaissance High School (Plainwell, MI)
Renaissance High School For Musical Theater And The Arts (Bronx, NY)
Renaissance High School For The Arts (Long Beach, CA)
Renaissance Home For Youth (Alexandria, LA)
Renaissance Learning Center (Martin, KY)
Renaissance Middle School At The Rand Building (Montclair, NJ)
Renaissance Public Academy (Molalla, OR)
Renaissance Public School Academy (Mount Pleasant, MI)
Renaissance School (Appleton, WI)
Renaissance School (Charlottesville, VA)
Renaissance School (Mckinney, TX)
Renaissance Secondary School (Castle Rock, CO)
Renaissance Virtual School (Clarkston, MI)
Renberg Elementary - 42 (Renner, SD)
Rendezvous Upper Elementary School (Driggs, ID)
Rene Marques (Carolina, PR)
Renew Scitech Academy At Laurel (New Orleans, LA)
Renewed Hope Ranch Academy (Cedar City, UT)
Renner Middle (Plano, TX)
Reno High School (Reno, NV)
Rensselaer Central High School (Rensselaer, IN)
Rensselaer Junior/Senior High School (Rensselaer, NY)
Rensselaer-Columbia-Greene Boces (Castleton, NY)
Renton Academy (Renton, WA)
Renton Online School (Renton, WA)
Renton Prep Christian School (Renton, WA)
Renton Senior High School (Renton, WA)
Renton Technical College (Renton, WA)
Renton Technical College Dftc (Renton, WA)
Renton Technical High School (Renton, WA)
Renu Hope Preschool (Banning, CA)
Renuevo Leadership Academy (Huntington Park, CA)
Renuevo Schools (Huntington Park, CA)
Renville County West Senior High (Renville, MN)
Renzulli Gifted And Talented Academy (Hartford, CT)
Reo School (Lansing, MI)
Repertory Company High School For Theatre Arts (New York, NY)
Repetto Elementary (Monterey Park, CA)
Republic County Jr./Sr. High School (Belleville, KS)
Republic Elementary School (Republic, WA)
Republic High (Republic, MO)
Republic High School (Nashville, TN)
Republic Parent Partner (Republic, WA)
Republic Senior High School (Republic, WA)
Republica De Colombia (San Juan, PR)
Republica De Costa Rica (Caguas, PR)
Republicmichigamme School (Republic, MI)
Research And Service High School (Brooklyn, NY)
Research Laboratory HS-Bioinformatic (Buffalo, NY)
Research Triangle High School (Durham, NC)
Reseda Charter High (Reseda, CA)
Reserve High (Reserve, NM)
Reserve Primary Sch (Pittsburgh, PA)
Reserved For Future Use (Dallas, TX)
Reservoir High (Fulton, MD)
Reset (Austin, MN)
Resica El Sch (East Stroudsburg, PA)
Resident Student/Out Of State (Saint Paul, MN)
Residential Consortium (Seattle, WA)
Resilience Charter School Inc (Gainesville, FL)
