18+ Program (Hastings, NE)
Paramount Academy (Peoria, AZ)
Paramount High (Paramount, CA)
Paramount Unified Community Day (Paramount, CA)
Paramus High School (Paramus, NJ)
Parchment High School (Kalamazoo, MI)
Pardeeville High (Pardeeville, WI)
Parent Assisted Learning (Kingston, WA)
Parent Partnership (Snohomish, WA)
Paris Bridges (Paris, IL)
Paris Cooperative High School (Paris, IL)
Paris Cooperative High School 4 (Paris, IL)
Paris Cooperative High School 95 (Paris, IL)
Paris Elem. (Paris, MO)
Paris Elementary (Taylors, SC)
Paris Elementary School (Paris, KY)
Paris H S (Paris, TX)
Paris High (Paris, MO)
Paris High School (Paris, AR)
Paris High School (Paris, KY)
Parish Episcopal School (Dallas, TX)
Parish Hill High School (Chaplin, CT)
Parishville-Hopkinton Elementary School (Parishville, NY)
Parishville-Hopkinton Junior-Senior High School (Parishville, NY)
Park Academy (Lake Oswego, OR)
Park Academy School-Parkwood Behavioral Health (Olive Branch, MS)
Park Avenue Elem (Danville, VA)
Park Avenue Elementary (Cudahy, CA)
Park Avenue Elementary (Nashville, TN)
Park Center Ib World School (Brooklyn Park, MN)
Park Christian School (Moorhead, MN)
Park City 7-8 (Park City, MT)
Park City High (Park City, UT)
Park City High School (Park City, MT)
Park Creek Elementary School (Dalton, GA)
Park Crossing High School (Montgomery, AL)
Park Dale Lane Elementary (Encinitas, CA)
Park East High School (New York, NY)
Park El Sch (Munhall, PA)
Park Elementary School (Corning, AR)
Park Elementary School (Kearney, NE)
Park Elementary School (Riverdale, IL)
Park Forest El Sch (State College, PA)
Park Forest Elementary School (Baton Rouge, LA)
Park High (Racine, WI)
Park High School (Cottage Grove, MN)
Park High School (Livingston, MT)
Park Hill High (Kansas City, MO)
Park Hill School (East Syracuse, NY)
Park Hill South High (Riverside, MO)
Park Hills El Sch (Hanover, PA)
Park Lakes Elementary School (Lauderdale Lakes, FL)
Park Lane El Sch (Darby, PA)
Park Manor Elem School (Chicago, IL)
Park Orchard Elementary School (Moses Lake, WA)
Park Place Middle School (Monroe, WA)
Park Rapids Area Century Middle (Park Rapids, MN)
Park Rapids Senior High (Park Rapids, MN)
Park Ridge High School (Park Ridge, NJ)
Park River Area High School (Park River, ND)
Park School (Warwick, RI)
Park Slope Collegiate (Brooklyn, NY)
Park Spanish Immersion Elementary (St Louis Park, MN)
Park Valley Elementary (Park Valley, UT)
Park Valley Secondary (Park Valley, UT)
Park View Elem School (Glen Ellyn, IL)
Park View Elementary (Cudahy, WI)
Park View Elementary (Victorville, CA)
Park View Elementary School (Cleveland, TN)
Park View High (South Hill, VA)
Park View High (Sterling, VA)
Park View Int (Pasadena, TX)
Park View Middle School (Prescott Valley, AZ)
Park View School (Payson, UT)
Park Vista Community High School (Lake Worth, FL)
Park West High (Continuation) (Pomona, CA)
Park West School (Round Lake, IL)
Parkdale Elementary School (Parkdale, OR)
Parkdale High (Riverdale, MD)
Parke Creek Treatment Ctr (Ellensburg, WA)
Parke Heritage High School (Rockville, IN)
Parker Alternative School (Parker, AZ)
Parker El (Houston, TX)
Parker Elementary (Oakland, CA)
Parker High (Janesville, WI)
Parker High School - 01 (Parker, SD)
Parker High School (Birmingham, AL)
Parker High School (Parker, AZ)
Parker Intermediate Ctr (Mcalester, OK)
Parker School (Kamuela, HI)
Parker Woods Montessori School (Cincinnati, OH)
Parkers Chapel High School (El Dorado, AR)
Parkers Lake High School (Plymouth, MN)
Parkers Prairie Secondary (Parkers Prairie, MN)
Parkersburg Catholic High School (Parkersburg, WV)
Parkersburg Christian School (Parkersburg, WV)
Parkersburg High School (Parkersburg, WV)
Parkersburg South High School (Parkersburg, WV)
Parkfield Elementary (San Miguel, CA)
Parkland El (El Paso, TX)
Parkland H S (El Paso, TX)
Parkland High (Winston Salem, NC)
Parkland HS (Allentown, PA)
Parkland Pre-Engineering Middle (El Paso, TX)
Parkland Preparatory Academy (Bartlett, IL)
Parkland School (Mchenry, IL)
Parklane Academy (Mccomb, MS)
Parklane Elementary (Stockton, CA)
Parklawn Elem (Alexandria, VA)
Parkridge Valley Academy (Chattanooga, TN)
Parkrose High School (Portland, OR)
Parkrose Middle School (Portland, OR)
Parks (Rosa) Elementary (San Francisco, CA)
Parks El (Pasadena, TX)
Parkside El (Georgetown, TX)
Parkside El Sch (Parkside, PA)
Parkside Elementary (Buffalo, MN)
Parkside Elementary (Charlotte, NC)
Parkside Elementary (Grants Pass, OR)
Parkside Elementary (San Bernardino, CA)
Parkside Elementary (Tenino, WA)
Parkside Elementary School (Goshen, IN)
Parkside High (Salisbury, MD)
Parkside Jr High School (Normal, IL)
Parkston Elementary - 02 (Parkston, SD)
Parkston High School - 01 (Parkston, SD)
Parkston Virtual School - 92 (Ethan, SD)
Parkview (Placentia, CA)
Parkview Adventist Academy (Oklahoma City, OK)
Parkview Baptist School (Baton Rouge, LA)
Parkview Center School (Roseville, MN)
Parkview Christian Academy (Waco, TX)
Parkview Christian Academy (Yorkville, IL)
Parkview Early Education Center (Fairview Park, OH)
Parkview Elementary (Chula Vista, CA)
Parkview Elementary (Mayville, WI)
Parkview Elementary (Milwaukee, WI)
Parkview Elementary (Orfordville, WI)
Parkview Elementary (Port Hueneme, CA)
Parkview Elementary (Taft, CA)
Parkview Elementary School (Carpentersville, IL)
Parkview Elementary School (Charlotte, MI)
Parkview Elementary School (Opa Locka, FL)
Parkview High (Orfordville, WI)
Parkview High (Springfield, MO)
Parkview High School (Lilburn, GA)
Parkview Learning Center (Jackson, TN)
Parkview Magnet High School (Little Rock, AR)
Parkview Middle School (Jeffersonville, IN)
Parkview Prep Academy (Avon Park, FL)
Parkview Primary School (Bedford, IN)
Parkview School - Levelland (Levelland, TX)
Parkview School - Lubbock (Lubbock, TX)
Parkview School (Cape Girardeau, MO)
Parkville Community School (Hartford, CT)
Parkville High (Baltimore, MD)
Parkway Academy (Sevierville, TN)
Parkway Center City Middle College (Philadelphia, PA)
Parkway Christian Academy (Lakeland, FL)
Parkway Christian School (Sterling Heights, MI)
Parkway Elem. (St Joseph, MO)
Parkway Elementary School (Leesville, LA)
Parkway Elementary School (Miami, FL)
Parkway Elementary School (Mount Laurel, NJ)
Parkway Elementary School (Tupelo, MS)
Parkway High School (Bossier City, LA)
Parkway High School (Rockford, OH)
Parkway Middle School (Rockford, OH)
Parkway Northwest (Philadelphia, PA)
Parkway School (Greenwich, CT)
Parkway West (Philadelphia, PA)
Parkway West Ctc (Oakdale, PA)
Parkwood Elem. (Maryland Heights, MO)
Parkwood Heights Elementary School (Jacksonville, FL)
Parkwood High (Monroe, NC)
Parkwoodupjohn Elementary School (Kalamazoo, MI)
Parley Coburn School (Elmira, NY)
Parliament Place School (North Babylon, NY)
Parlier High (Parlier, CA)
Parma High School (Parma, ID)
Parma High School (Parma, OH)
Parma Middle School (Parma, ID)
Parmalee Elementary School (Indian Hills, CO)
Parnall Correctional Facility (Jackson, MI)
Parnassus Prep Sch-Grammar (Maple Grove, MN)
Parnassus Prep School-Rhetoric (Maple Grove, MN)
Parnassus Preparatory School-Logic (Maple Grove, MN)
Parowan High (Parowan, UT)
Parr'S Ridge Elementary (Mt Airy, MD)
Parrish Community High School (Parrish, FL)
Parrottsville Elementary (Parrottsville, TN)
Parry Mccluer High (Buena Vista, VA)
Parshall High School (Parshall, ND)
Parsippany High School (Parsippany, NJ)
Parsippany Hills High School (Morris Plains, NJ)
Parson Claude & Stella Es (Las Vegas, NV)
Parsons Christian Academy (Jacksonville, FL)
Parsons El (Lubbock, TX)
Parsons Elementary School (Suwanee, GA)
Parsons Sr High (Parsons, KS)
Partee Elementary School (Snellville, GA)
Parthum Middle School (Lawrence, MA)
Partners For Success-Old Mill Sch (Addison, IL)
Partnership Academy (Hillsborough, NC)
Partnership For Excellence In Alternative Remote Learning (Quilcene, WA)
Partridge Elem. (Ft Leonard Wood, MO)
Pasadena Avenue Elementary (Sacramento, CA)
Pasadena Fundamental Elementary School (St Petersburg, FL)
Pasadena High (Pasadena, CA)
Pasadena High School (Pasadena, TX)
Pasadena Memorial H S (Pasadena, TX)
Pasadena Waldorf School (Altadena, CA)
Pascack Hills High School (Montvale, NJ)
Pascack Valley High School (Hillsdale, NJ)
Pascagoula High School (Pascagoula, MS)
Pascagoula Opportunity Center (Pascagoula, MS)
Paschal H S (Fort Worth, TX)
Pasco Elementary School (Dade City, FL)
Pasco Eschool-Virtual Franchise (Spring Hill, FL)
Pasco High School (Dade City, FL)
Pasco Senior High School (Pasco, WA)
Pasco Virtual Instruction (Course Offerings) (Spring Hill, FL)
Paseo Acad. Of Performing Arts (Kansas City, MO)
Paseo Grande Charter (Sacramento, CA)
Paseo Hills School (Phoenix, AZ)
Pashley Elementary School (Scotia, NY)
Paso Robles High (Paso Robles, CA)
Paso Verde (Sacramento, CA)
Pasodale El (El Paso, TX)
Pasquotank County High (Elizabeth City, NC)
Pass Christian Elem (Pass Christian, MS)
Pass Christian High School (Pass Christian, MS)
Pass Christian Middle (Pass Christian, MS)
Pass Creek School (Belgrade, MT)
Pass Learning Ctr (Dallas, TX)
Pass Program (Everett, WA)
Passage Christian Academy (Gainesville, FL)
Passageways (Prior Lake, MN)
Passaic Academy For Science And Engineering (Passaic, NJ)
Passaic Arts And Science Charter School (Passaic, NJ)
Passaic County Technical Institute (Wayne, NJ)
Passaic County-Manchester Regional High School (Haledon, NJ)
Passaic High School No. 12 (Passaic, NJ)
Passaic Preparatory Academy (Passaic, NJ)
Passaic Valley Regional High School (Little Falls, NJ)
Passport Academy Cs (Pittsburgh, PA)
Pat Dillard Special Achievement Center (Allen, TX)
Patagonia Union High School (Patagonia, AZ)
Patapsco High And Center For Arts (Baltimore, MD)
Pataula Charter Academy (Edison, GA)
Patchogue-Medford High School (Medford, NY)
Pate Early Childhood Ctr. (Aurora, MO)
Pateros Alternative School (Pateros, WA)
Pateros High School (Pateros, WA)
Paterson Arts And Science Charter School (Paterson, NJ)
Paterson Charter School For Science/Technology (Paterson, NJ)
Paterson Elementary School (Paterson, WA)
Path Academy (Miami, FL)
Pathfinder Achievement Center (Garland, TX)
Pathfinder Ed Prg-Lancaster Co (Lincoln, NE)
Pathfinder Educational Center (Centreville, MI)
Pathfinder High School (Lander, WY)
Pathfinder Vocational Technical (Palmer, MA)
Pathfinders Alternative Ed (Dowagiac, MI)
Paths To Independence (Bartlesville, OK)
Pathway Academy High School (Marion, KY)
Pathway Christian Academy (Goldsboro, NC)
Pathway Christian Prep Academy (Frisco, TX)
Pathway Christian School (Kalona, IA)
Pathway Community Day (Fresno, CA)
Pathway Inc (New Brockton, AL)
Pathway School (Howell, MI)
Pathway To Change (Lindstrom, MN)
Pathways (Coon Rapids, MN)
Pathways Academic Campus (Killeen, TX)
Pathways Academy (Albuquerque, NM)
Pathways Academy (Buffalo, NY)
Pathways Academy (Detroit, MI)
Pathways Academy (Joliet, IL)
Pathways Academy (Lake City, FL)
Pathways Academy Charter - Adult Education (San Marcos, CA)
Pathways Academy Charter Adult Education (San Marcos, CA)
Pathways Academy Of Technology And Design (East Hartford, CT)
Pathways Charter (Rohnert Park, CA)
Pathways Charter Academy (Yuba City, CA)
Pathways Childrens Services (New York, NY)
Pathways College Preparatory School: A College Board School (Saint Albans, NY)
Pathways Education Center (Oil City, PA)
Pathways Elementary (Hillsborough, NC)
Pathways For Adult Life Skills (Perris, CA)
Pathways Future Center (Thornton, CO)
Pathways H S (Denison, TX)
Pathways High (Milwaukee, WI)
Pathways High School (Pahrump, NV)
Pathways Horizons (Silverspring, MD)
Pathways In Education - Humboldt Park HS (Chicago, IL)
Pathways In Education - North Market (Shreveport, LA)
Pathways In Education - Tn (Memphis, TN)
Pathways In Education - Whitehaven (Memphis, TN)
Pathways In Education (Phoenix, AZ)
Pathways In Education Ashburn (Chicago, IL)
Pathways In Education Avondale (Chicago, IL)
Pathways In Education Brighton Park (Chicago, IL)
Pathways In Education-Louisiana Inc. (Shreveport, LA)
Pathways In Education: Nampa (Nampa, ID)
Pathways In Technology Early College High School (P-Tech) (Brooklyn, NY)
Pathways Learning Ctr (Beaumont, TX)
Pathways Merry Meeting Center (Brunswick, ME)
Pathways Middle And High (Wilmington, NC)
Pathways Private School (Orlando, FL)
Pathways Program Grades 8-12 (Red Wing, MN)
Pathways Roe 11 (Mattoon, IL)
Pathways School (Belleville, IL)
Pathways School (Gilbert, AZ)
Pathways School Of Excellence (Lakeland, FL)
Pathways School--Anne Arundel (Annapolis, MD)
Pathways School--Edgewood (Silver Spring, MD)
Pathways Strategic Teaching Center (Coventry, RI)
Pathways To Success Academic Campus (Ann Arbor, MI)
Patoka Sr High School (Patoka, IL)
Paton-Churdan Elementary (Churdan, IA)
Paton-Churdan Jr-Sr High School (Churdan, IA)
Patria Latorre Ramirez (San Sebastian, PR)
Patricia A Duran School (Hermon, ME)
Patricia A. Hannaford Career Center (Middlebury, VT)
Patricia Beatty Elementary (Riverside, CA)
Patricia Dreizler Continuation High (Redondo Beach, CA)
Patricia Knowles El (Cedar Park, TX)
Patricia St Clair Elementary School (Hesperia, MI)
Patrician Academy (Butler, AL)
Patrick Copeland Elem (Hopewell, VA)
Patrick County High (Stuart, VA)
Patrick F. Taylor Science & Technology Academy (Avondale, LA)
Patrick Henry Academy (Estill, SC)
Patrick Henry Elem (Alexandria, VA)
Patrick Henry High (Ashland, VA)
Patrick Henry High (Glade Spring, VA)
Patrick Henry High (Roanoke, VA)
Patrick Henry High School (Hamler, OH)
Patrick Henry Middle (Granada Hills, CA)
Patrick J Kennedy (East Boston, MA)
Patrick Springs Elem (Patrick Springs, VA)
Patricksburg Elementary School (Patricksburg, IN)
Patriot Elementary -06 (Box Elder, SD)
Patriot Elementary (Bakersfield, CA)
Patriot High (Jurupa Valley, CA)
Patriot High (Nokesville, VA)
Patriot High School (Falcon, CO)
Patriot Oaks Academy (Saint Johns, FL)
Patriot Preparatory Academy (Columbus, OH)
Patsy Sommer El (Austin, TX)
Patten Academy Of Christian Education (Oakland, CA)
Pattengill Elementary School (Berkley, MI)
Pattengill School (Lansing, MI)
Patterson Elementary (Fremont, CA)
Patterson Elementary (Mesa, AZ)
Patterson Elementary School (Gilbert, AZ)
Patterson Elementary School (Holly, MI)
Patterson High (Baltimore, MD)
Patterson High (Patterson, CA)
Patterson High School (Patterson, LA)
Patterson Mill High School (Bel Air, MD)
Patterson Park Public Charter School (Baltimore, MD)
Patterson Road Elementary (Santa Maria, CA)
Pattison'S Academy For Comprehensive Education (Charleston, SC)
Patton El (Austin, TX)
